State,Perc_Dem
Maine,47
New Hampshire,43
Vermont,52
Massachusetts,57
Rhode Island,48
Connecticut,51
New York,52
New Jersey,48
Pennsylvania,46
Maryland,56
Delaware,45
West Virginia,40
Ohio,41
Michigan,45
Indiana,41
Illinois,50
Wisconsin,43
Minnesota,47
Iowa,42
Missouri,38
North Dakota,28
South Dakota,35
Nebraska,35
Kansas,34
Virginia,45
North Carolina,44
South Carolina,37
Georgia,42
Florida,42
Kentucky,41
Tennessee,35
Alabama,35
Mississippi,38
Arkansas,36
Louisiana,40
Oklahoma,35
Texas,38
Montana,37
Arizona,40
Colorado,46
Idaho,31
Wyoming,27
Utah,29
Nevada,42
New Mexico,48
California,51
Oregon,49
Washington,49
Hawaii,50
Alaska,31
